Data;Produção - automóveis - montados - qde;Vendas de autoveículos no mercado interno;Índice de confiança do consumidor (ICC)
1994-06;84083;98029;82,96
1994-07;88383;100253;95,59
1994-08;98560;115631;110,92
1994-09;81379;97558;112,35
1994-10;83395;99341;116,08
1994-11;96712;116024;119,84
1994-12;87118;104107;121,68
1995-01;60084;71602;124,41
1995-02;84406;100716;123,91
1995-03;102891;122326;114,07
1995-04;90985;106574;106,22
1995-05;105782;127469;105,28
1995-06;117620;128662;102,21
1995-07;79626;97100;98,05
1995-08;110532;133553;97,12
1995-09;96655;117201;97,54
1995-10;108554;122271;97,45
1995-11;107406;124226;97,38
1995-12;85399;107632;97,95
1996-01;82304;93946;101,38
1996-02;96101;113526;104,04
1996-03;109897;127775;108,17
1996-04;103594;119767;107,70
1996-05;116153;129524;104,62
1996-06;96278;111717;105,33
1996-07;124559;139110;105,64
1996-08;132506;140611;107,20
1996-09;121277;137364;106,76
1996-10;121475;141766;109,36
1996-11;117701;137622;111,66
1996-12;98260;114055;112,18
1997-01;103399;119379;114,31
1997-02;111027;126483;112,76
1997-03;124758;143877;115,89
1997-04;142109;155674;116,95
1997-05;132488;146789;109,42
1997-06;140463;152786;106,09
1997-07;132078;144004;108,38
1997-08;141510;151793;105,74
1997-09;146911;158254;98,69
1997-10;155596;160631;96,91
1997-11;104596;106679;97,99
1997-12;84594;73894;93,47
1998-01;88562;92849;94,47
1998-02;84563;84568;103,16
1998-03;112069;120637;100,49
1998-04;109120;111203;90,99
1998-05;127693;122401;87,73
1998-06;116874;115831;93,85
1998-07;98781;88429;102,69
1998-08;107464;132708;109,43
1998-09;108305;100891;112,41
1998-10;72752;79189;113,28
1998-11;61326;66445;106,91
1998-12;49710;72586;92,68
1999-01;66081;74995;94,22
1999-02;61724;36539;89,94
1999-03;91741;122669;75,72
1999-04;90891;103394;75,86
1999-05;95081;94954;77,29
1999-06;95664;92537;91,51
1999-07;95250;99045;99,11
1999-08;106826;109891;98,17
1999-09;110369;111483;99,03
1999-10;89741;81456;95,52
1999-11;88148;76568;93,87
1999-12;68017;74684;94,62
2000-01;77734;79396;100,91
2000-02;103817;101459;107,34
2000-03;106999;105733;100,09
2000-04;102768;104332;93,93
2000-05;114672;114966;89,44
2000-06;114624;110145;94,54
2000-07;115370;111040;98,31
2000-08;130989;124608;91,20
2000-09;112614;115432;92,02
2000-10;111817;116967;98,51
2000-11;104799;116509;99,37
2000-12;102234;114716;100,82
2001-01;97253;103136;111,34
2001-02;112025;115953;113,47
2001-03;140544;147026;108,55
2001-04;132217;136732;105,22
2001-05;149834;144428;102,40
2001-06;126905;124291;79,44
2001-07;118796;111415;87,20
2001-08;116559;118148;86,38
2001-09;105636;88872;90,74
2001-10;94361;99819;80,65
2001-11;103400;118159;78,31
2001-12;86838;114987;86,28
2002-01;98106;102690;87,04
2002-02;96240;88248;90,66
2002-03;120508;113114;91,30
2002-04;127025;127646;96,00
2002-05;121122;113146;96,15
2002-06;108729;99497;84,40
2002-07;111633;115506;93,81
2002-08;107017;117136;89,80
2002-09;118624;120106;99,22
2002-10;135135;131274;94,91
2002-11;126985;116118;98,68
2002-12;105095;118851;102,92
2003-01;112667;103793;102,97
2003-02;119461;109428;103,53
2003-03;106398;96566;101,89
2003-04;110405;102883;107,66
2003-05;119575;101666;112,04
2003-06;104690;95228;116,81
2003-07;110194;108285;111,47
2003-08;110124;95479;109,37
2003-09;134193;118922;106,41
2003-10;136755;134566;104,72
2003-11;136884;124783;108,68
2003-12;126924;163152;115,33
2004-01;128789;102632;124,16
2004-02;124786;101306;123,40
2004-03;156846;136238;113,29
2004-04;136934;110845;108,01
2004-05;143875;118604;124,23
2004-06;151136;125949;117,07
2004-07;150258;128311;118,50
2004-08;161981;124960;120,72
2004-09;161712;132613;128,43
2004-10;149862;131618;141,92
2004-11;160529;133218;144,96
2004-12;150934;170721;140,41
2005-01;129739;101602;145,02
2005-02;149317;109911;146,48
2005-03;180083;142943;144,95
2005-04;166151;130620;141,75
2005-05;173971;135343;133,62
2005-06;177562;140902;132,74
2005-07;166328;132141;133,21
2005-08;176427;144063;124,89
2005-09;164582;136583;109,24
2005-10;153363;130175;107,65
2005-11;173545;149895;117,23
2005-12;168477;172298;130,16
2006-01;157022;125923;131,52
2006-02;162367;122236;138,03
2006-03;177645;149545;137,75
2006-04;154730;123138;132,38
2006-05;181583;152725;138,20
2006-06;173662;137192;134,40
2006-07;169180;153830;134,17
2006-08;188344;164614;128,24
2006-09;158603;146191;131,36
2006-10;175251;160227;132,29
2006-11;178286;165966;134,62
2006-12;150632;183657;127,50
2007-01;161605;134844;133,89
2007-02;159393;133465;134,39
2007-03;195931;174242;127,87
2007-04;177941;161899;127,97
2007-05;204063;192223;126,49
2007-06;193968;179115;129,77
2007-07;212032;195344;130,12
2007-08;218310;209406;130,30
2007-09;201543;179665;131,81
2007-10;236446;212514;133,34
2007-11;218002;205626;136,25
2007-12;181505;207253;139,90
2008-01;200764;185148;142,61
2008-02;197647;177901;146,90
2008-03;222548;204083;147,72
2008-04;236206;229699;148,56
2008-05;229493;211972;147,36
2008-06;242191;223242;142,59
2008-07;251952;252167;131,23
2008-08;245913;210069;137,05
2008-09;233650;231385;141,28
2008-10;225246;204658;140,46
2008-11;143636;151440;133,85
2008-12;69236;163438;128,66
2009-01;147345;158826;125,16
2009-02;165302;168651;134,12
2009-03;227657;236175;130,88
2009-04;208010;203268;126,33
2009-05;222104;213611;128,95
2009-06;233751;259924;139,99
2009-07;227192;242057;145,01
2009-08;241640;220616;145,61
2009-09;219626;262575;148,81
2009-10;252360;244268;157,15
2009-11;229664;206027;155,79
2009-12;193516;236184;156,63
2010-01;186269;170302;160,47
2010-02;188222;180476;161,43
2010-03;256006;295578;159,92
2010-04;216850;228081;154,66
2010-05;238389;206113;155,77
2010-06;224942;216470;160,55
2010-07;231938;248041;157,16
2010-08;243000;255498;164,50
2010-09;219951;249468;162,62
2010-10;232071;243921;155,37
2010-11;237519;262011;160,06
2010-12;207767;298730;164,26
2011-01;191191;187271;160,83
2011-02;231395;212172;164,21
2011-03;231412;243827;160,29
2011-04;221633;225129;159,44
2011-05;232564;243786;153,00
2011-06;228666;235026;153,81
2011-07;240457;238844;152,93
2011-08;252342;253937;152,71
2011-09;196993;232609;154,08
2011-10;201438;209537;151,91
2011-11;203719;238893;155,36
2011-12;199083;254180;158,17
